Station,", Bedrock Type ()",", Intact Strength ()",", Bedrock (Weathering)",", Spacing (of Defects)",", Additional Rock (Description)",", Notes ()",", References ()",", Bulk Density ((t/m3))",", Bulk Density (Notes)",", UCS (Mpa)",", UCS (Notes)",", Vs (m/s) ()",", Vs Notes ()",", Depth to Bedrock (from sensor level)",", Depth to Bedrock (from sensor level - Notes)"
913A,Greywacke,moderately strong,moderately weathered,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,2,Approximate value
914A,Greywacke,weak,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,33,Approximate value
914B,Greywacke,weak,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,33,Approximate value
914C,Greywacke,weak,,,,"Previously named ""Wellington Southern Cross Medical""","Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,33,Approximate value
916A,Greywacke,weak,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,70,
917A,Greywacke,weak,,,moderately weak to strong,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,100,Approximate value
918A,Greywacke,weak,moderately weathered,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
918B,Greywacke,weak,moderately weathered,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
919A,Greywacke,weak,,,weathered Greywacke,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,95,Approximate value
921A,Greywacke,weak,,,,Rock mainly crushed in this area - probably related to the Wellington fault,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
922A,Greywacke,weak,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,45,Approximate value
922B,Greywacke,weak,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,45,Approximate value
923A,Greywacke,weak,completely weathered,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
924A,Greywacke,strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,90,Approximate value
924B,Greywacke,strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,90,Approximate value
924F,Greywacke,strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,90,Approximate value
924G,Greywacke,strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,90,Approximate value
925A,Siltstone,weak,,,clay-bound gravels,Port Hills Gravel,"Johnston, M.R. (1979)",,,,,,,52,
925B,Siltstone,weak,,,clay-bound gravels,Port Hills Gravel,"Johnston, M.R. (1979)",,,,,,,52,
926A,Limestone,moderately weak,,,moderately weak to moderately strong - siltstone / limestone,"most likely blue siltstone under alluvial deposits, some limestone may be present","Kingma, J.T. (1970)",,,,,,,200,Probably effective bedrock at 20 m
928A,Limestone,weak,,,limestone / sandstone,,"Kingma, J.T. (1971)",,,,,,,300,"Perhaps consider bedrock to be 2 m, but it is relatively low velocity material"
929A,Ignimbrite,moderately strong,,,welded ignimbrite,"Liquefaction likely during strong shaking, ","Stephenson, W.R., & Barker, P.R. (1989)",,,,,,,300,Minimum value
930A,Ignimbrite,moderately strong,,,welded ignimbrite,"Liquefaction likely during strong shaking, ","Stephenson, W.R., & Barker, P.R. (1989)",,,,,,,300,Minimum value
931A,Ignimbrite,moderately strong,,,welded ignimbrite (Matahina Ignimbrite),"Note: further ignimbrites, alluvium etc to greywacke basement at about 800m","Nairn, I.A., & Beanland, S. (1989); Stephenson, W.R., & Barker, P.R. (1989); Healy, J. et al. (1964)",,,,,,,65,
931B,Ignimbrite,moderately strong,,,welded ignimbrite (Matahina Ignimbrite),,"Healy, J. et al. (1964)",,,,,,,50,Approximate value
931C,Ignimbrite,moderately strong,,,welded ignimbrite (Matahina Ignimbrite),,"Barker, P.R. (1995); Healy, J. et al. (1964)",,,,,,,50,Approximate value
932A,Greywacke,strong,,,Urewera Greywacke,,"Healy, J. et al. (1964)",,,,,,,10,"> 10 m, could be as high as 20 m"
933A,Ignimbrite,weak,,,,"Top 20m is certainly soft / very loose, ","Healy, J. et al. (1964)",,,,,,,120,
933B,Ignimbrite,weak,,,,"Top 20m is certainly soft / very loose, ","Healy, J. et al. (1964)",,,,,,,120,
934A,Greywacke,strong,moderately weathered,,,,"Fry, B. (1980)",,,,,,,100,
934B,Greywacke,strong,moderately weathered,,,,"Fry, B. (1980)",,,,,,,100,
934C,Greywacke,strong,moderately weathered,,,,"Fry, B. (1980)",,,,,,,100,
935A,Greywacke,very strong,,,,"Site name changed to ""Lower Hutt Chiropractic Services"" in about 1993.","Fry, B. (1980)",,,,,,,275,Approximate value
935B,Greywacke,very strong,,,,"Site name changed to ""Lower Hutt Chiropractic Services"" in about 1993.","Fry, B. (1980)",,,,,,,275,Approximate value
935C,Greywacke,very strong,,,,"Site name ""Lower Hutt Geological Survey"" prior to 1993.","Fry, B. (1980)",,,,,,,275,Approximate value
936A,Greywacke,very strong,,,,Vs 175 m/s to 25m depth (at nearby Schofield St.),"Stephenson, W.R., & Barker, P.R. (1992); Fry, B. (1980)",,,,,,,225,Approximate value
937A,Greywacke,moderately strong,moderately weathered,,moderately to highly weathered,weak to strong,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
937B,Greywacke,moderately strong,moderately weathered,,moderately to highly weathered,weak to strong,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
938A,Siltstone,weak,,,siltstone/sandstone,,"Lensen, G.J. (1962)",,,,,,,20,
940A,Schist,strong,,,,,"Wood, B.L. (1962)",,,,,,,45,Approximate value
941A,Greywacke,weak,,,moderately weak to strong,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,100,Approximate value
942A,Greywacke,very strong,,,andesite/ greywacke - Tertiary,,"Suggate, R.P. (1973)",,,,,,,1100,"Bedrock starts at 500m, but big velocity contrast at 1100 m, effective depth c 500 m"
943A,Siltstone,weak,,,siltstone (Tertiary) overlying schist,weak to strong,"Gair, H.S. (1967); Brown, L.J. (1981)",,,,,,,10,c. 10 m  to effective bedrock
944A,Greywacke,very strong,,,,,"Wood, B.L. (1966)",,,,,,,40,
945A,Greywacke,strong,,,,no distinct contrast except at 2000m. ,"Healy, J. et al. (1964)",,,,,,,2000,Probably effective bedrock at 50 m
946A,Greywacke,very strong,,,,,"Wood, B.L. (1966)",,,,,,,40,
946B,Greywacke,very strong,,,,,"Wood, B.L. (1966)",,,,,,,40,
948A,Greywacke,strong,,,,no distinct contrast except at 2000m. ,"Healy, J. et al. (1964)",,,,,,,2000,Probably effective bedrock at 50 m
954A,Greywacke,weak,,,completely weathered near surface,weak to moderately strong,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,0,
ADCS,Greywacke,very strong,,,andesite/ greywacke - Tertiary,,"Suggate, R.P. (1973)",,,,,,,1100,"Bedrock starts at 500m, but big velocity contrast at 1100 m, effective depth c 500 m"
AICS,Schist,strong,,,Haast Schist Group,,"Gregg, D.R. (1964)",2.7,,100,,,,80,Estimated from valley side slope
AKUS,Siltstone,weak,,,Waitemata Group,stiff,"Kermode, L.O. (1966)",,,,,,,,Unknown - insufficient subsurface data
AMBC,Greywacke,,,,Windwhistle Fm,,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
APPS,Greywacke,weak,,,Torlesse Group,crushed in part,"Gregg, D.R. (1964)",,,,,,,50,
APUS,Ignimbrite,weak,slightly weathered,,Ongatiti,SW-MW,"GNS reports, test results.",2,1.7-2.2,,4-30,500,400-600,0,
APZ,Diorite,strong,,,Anglem Complex,,"Watters, W.A. et al. (1968)",,,,,,,0,
ARKS,Greywacke,weak,highly weathered,,,,"Kingma, J.T. (1967)",,,,,,,2,Maximum value
ARPS,Siltstone,weak,,,"blue-grey sandy siltstone (""Blue Bottom"" formation)",Thickness of bedrock 1500 -2500m,Nathan. S. (1976),2.18,,5,,700,,8,
ASHS,Greywacke,strong,,,,,"Brown, L.J., & Weeber, J.H. (1982)",,,,,,,,Unknown - insufficient subsurface data
AVIS,Greywacke,moderately strong,slightly weathered,moderately widely-spaced,,,"GNS test results, reports.",2.7,,60,,1000,,,Unknown - insufficient subsurface data
AXZ,Schist,strong,,,,,"Wood, B.L. (1962)",2.7,,100,,,,0,
BCZ,Limestone,moderately weak,,,moderately weak - moderately strong,"Limestone, moderately strong, but beds are quite thin with respect to the hundreds of metres of Miocene rocks that they form a harder part of.","Cousins, W.J. et al. (1999)",,,,,,,0,
BDCS,Greywacke,moderately weak,,,greywacke (Tuapeka Gp.),moderately weak to moderately strong,"McKellar, I.C. (1966)",,,,,,,2,
BENS,Greywacke,strong,unweathered,closely spaced,,closely jointed,"Mutch, A.R. (1963)",,,,,,,0,
BFZ,Sandstone,moderately strong,,,silty sandstone & muddy siltstone,,"Kingma, J.T. (1967)",,,,,,,0,
BKZ,Greywacke ,moderately strong,,,argilite & redeposited sandstone (Kaweka Greywacke),,"Grindley, G.W. (1960)",,,,,,,0,
BSZ,Mudstone,moderately strong,,,,,"Lensen, G.J. (1959)",,,,,,,0,
BTWS,Greywacke,moderately strong,,,sandstone & mudstone,,"Chittenden, E.T. et al. (1966); Johnston, M.R. (1982)",,,,,,,40,Approximate value
CACS,Greywacke,very strong,,,greywacke or basalt basement,,"Brown, L.J. (1975)",,,,,,,1000,c. 350 m to effective bedrock
CBGS,Basalt,strong,,,greywacke or basalt,,"Brown, L.J., & Weeber, J.H. (1992)",,,,,,,1150,c. 400 m to effective bedrock
CCCC,Basalt,strong,,,basalt (Lyttleton basalt),,"Berrill, J.B. et al. (1993); Brown, L.J., & Weeber, J.H. (1992)",,,,,,,800,"c. 800 m, effective bedrock possibly c. 55 m"
CCPS,Basalt,strong,,,basalt (Lyttleton basalt),,"Barker, P.R. (1996); Berrill, J.B. et al. (1993); Brown, L.J., & Weeber, J.H. (1992)",,,,,,,800,"c. 800 m, 75 m to effective bedrock?"
CDZ,Schist,moderately strong,slightly weathered,,,,"Cousins, W.J. et al. (1999); Grindley. G.W. (1980)",,,,,,,0,
CECS,Siltstone,weak,,,,,"Gregg, D.R. (1964)",,,,,,,15,
CHHC,Basalt,strong,,,basalt (Lyttleton basalt),,"Berrill, J.B. et al. (1993); Brown, L.J., & Weeber, J.H. (1992)",,,,,,,800,"c 800 m, possibly 75 m to effective bedrock."
CMHS,Basalt,strong,,,,Data taken from extensive site investigations at Cashmere Hospital ~ 300m away.,"NZ Soil Bureau Job File 38 (held at GNS); Brown, L.J., & Weeber, J.H. (1992)",,,,,,,20,Approximate value
CPFS,Mudstone,moderately strong,,,mudstone/sandstone,Eocene-Miocene (300m thick). Cretaceous and older greywacke below approx 300m,"Johnston, M.R. (1975)",,,,,,,10,Maximum value
CRLZ,Basalt,strong,,,,,"Brown, L.J., & Weeber, J.H. (1992)",,,,,,,0,
CSHS,Limestone,weak,,,Torlesse Group,,"Gregg, D.R. (1964)",,,,,,,0,
CSTC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
CULC,Greywacke,strong,,,"sand, silt & glacial outwash gravel",,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
DCDS,Basalt,strong,,,volcanic (basalt?),strong to very strong,"Benson, W.N. (1968)",,,,,,,8,
DCZ,Gneiss,very strong,,,gneiss & schist (Paleozoic),,"Cousins, W.J. et al. (1999)",,,,,,,0,
DFHS,Greywacke,moderately strong,,,Windwhistle Fm,,"Kear, B.S. et al. (1967); Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
DGNS,Basalt,strong,slightly weathered,,volcanic (basalt?),strong to very strong - probable columnar jointing,"Barrell, D. Email to Nick Perrin pers comms.; Benson, W.N. (1968)",,,,,,,10,
DKHS,Basalt,strong,,,,,"Stephenson, W.R., & Barker, P.R. (1999); Benson, W.N. (1968)",,,,,,,,Unknown - insufficient subsurface data
DORC,Greywacke,strong,,,,,NZ Soil Bureau. (1968),,,,,,,,Unknown - insufficient subsurface data
DSLC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
DSZ,Greywacke,very strong,,,(Brunner Coal Measures)- effective bedrock,40,"Bowen, F.E. (1964)",,,,,,,0,
DUNS,Basalt,moderately strong,moderately weathered,,Roslyn dolerite,"Probably stable, Volcanic rocks probably 60m thick here, overlying Caversham sandstone. Columnar joints? Deep weathering on joints?","Benson, W.N. (1968)",,,,,,,0,
DVHS,Siltstone,weak,,,siltstone / sandstone," stiff soil / weak rock-Lower Pleistocene ","Lillie, A.R. (1953)",,,,,,,55,"c. 55 m, Greywacke basement is 2000 m"
EAZ,Schist,strong,,,Chlorite Schist IV (Haast Schist),,"Wood, B.L. (1962)",,,,,,,0,
EBPS,Greywacke,moderately strong,,,,,"Stephenson, W.R., & Barker, P.R. (1991)",,,,,,,12,Approximate value
EKTS,Greywacke,moderately strong,,,,,"Kingma, J.T. (1967)",,,,,,,6,
FAHS,Greywacke,moderately strong,,,,,"Kingma, J.T. (1962)",,,,,,,20,Minimum value
FDCS,Greywacke,very strong,,,greywacke/ semi-schist,Permo-Triassic,"Gair, H.S. (1967)",,,,,,,1000,"Effective bedrock at 40 m, but much stronger material at 1000 m"
FGPS,Greywacke,very strong,,,greywacke or granite or schist?,NB: No detailed subsurface information. Quaternary sediments must be deep against the fault scarp. Bedrock in the region on this side of the fault is greywacke and granite with very little Tertiary apparent. Either Paleozoic granite or Pre-Cambrian greywacke. Could be schist or Tertiary?,"Warren, G. (1967)",,,,,,,100,Approximate value
FJDS,Schist,strong,,,garnet schist,May be granite or greywacke deeper than 150m under site.,"Warren, G. (1967)",,,,,,,150,Approximate value
FKPS,Greywacke,moderately strong,,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,30,Minimum value
FOZ,Greywacke,very strong,,,greywacke or granite or schist?,,"Warren, G. (1967)",,,,,,,0,
FTPS,Greywacke,moderately strong,,,,,"Kingma, J.T. (1967)",,,,,,,22,Approximate value
FXBS,Greywacke,moderately strong,,,,,"Lensen, G.J. (1959)",,,,,,,3000,Minimum value
GDLC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
GISS,Siltstone,weak,,,weak (soft) rock,Same as sites 018A and 218A,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,40,
GLWS,Greywacke,strong,,,,,"Gregg, D.R. (1964)",,,,,,,160,Approximate value
GMTS,Mudstone,strong,,,mudstone / limestone,,Nathan. S. (1976),,,,,,,40,Approximate value
GORS,Greywacke ,strong,,,,,"Wood, B.L. (1966)",,,,,,,50,Approximate value
GWTS,Siltstone,weak ,,,Tertiary,,"Kingma, J.T. (1964)",,,,,,,125,approximate value
HAFS,Greywacke,strong,,,,,"Warren, G. (1967)",,,,,,,,Unknown - insufficient subsurface data
HCDS,Limestone,weak,,,Te Aute,,"Dellow, G.D. et al. (2003); Barker, P.R. (1997)",,,,,,,1000,Approximate value
HDWS,Greywacke,strong,,,volcanics / schist,,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,200,Minimum value
HECS,Greywacke,strong,,,,,"Kear, D., & Schofield, J.C. (1965); Kear, D. et al. (1964)",,,,,,,450,Probably effective bedrock at c 140-180 m (base of Walton subgroup)
HIZ,Siltstone,moderately strong,,,Whaingaroa Siltstone,,"Hay, R.F. (1967)",,,,,,,0,
HMCS,Siltstone,strong,,,massive siltstone,,"NZ Soil Bureau Job File 27(Held at GNS); Warren, G. (1967)",,,,,,,100,
HNPS,Limestone,weak,,,limestone / sandstone,,"Kingma, J.T. (1971)",,,,,,,300,"Perhaps consider bedrock to be 2 m, but it is relatively low velocity material"
HOCS,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,300,
HORC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
HSES,Greywacke,strong,unweathered ,,sandstone and argillite - strong to very strong,Crush zone 61.5 - 64.5m depth. Shattered? 80-87m.,"Freund, R. (1971); Gregg, D.R. (1964)",,,,,,,50,Approximate value
HSSS,Greywacke,weak,completely weathered,,completely to highly weathered,,,,,,,,,1,Maximum value
HUKS,Siltstone,moderately strong,,,Urenui siltstone,,"Aitken, J.F. et al. (1978); Hay, R.F. (1967)",,,,,,,,Unknown - insufficient subsurface data
HWHS,Mudstone,weak,,,Tertiary mudstone and sandstone,,"Barker, P.R. (1997); Lensen, G.J. (1959)",,,,,,,12,Maximum value
ICCS,Mudstone,moderately strong,,,Tertiary mudstone,,"Wood, B.L. (1966); Watters, W.A; Speden, I.G., & Wood, B.L. (1966)",,,,,,,20,
IFPS,Schist,strong,,,garnet schist,,"Warren, G. (1967)",,,,,,,80,Approximate value
INGS,Mudstone,strong,slightly weathered,,"Tertiary calacreous mudstone (""Blue Bottom"")",,"Nathan, S. (1978)",,,,,,,10,
INHS,Mudstone,moderately strong,,,Tertairy Mudstone (Matemateonga Fm),,"Hay, R.F. (1967)",,,,,,,200,Approximate value
INSS,Greywacke,weak,completely weathered,,"weak, stronger with depth",,Soil Bureau file 9/28 (held at GNS). ,,,,,,,0,
JACS,Greywacke,strong,,,,,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,2,Maximum value
JCZ,Greywacke,strong,,,,,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,0,
KAFS,Ignimbrite,moderately strong,,,welded ignimbrite (Matahina Ignimbrite),,"Barker, P.R. (1995); Healy, J. et al. (1964)",,,,,,,50,Approximate value
KAPS,Mudstone,weak,,,flysch,,"Kermode, L.O. (1986)",,,,,,,0,
KARS,Greywacke,strong,,,massive sandstone & siltstone,,"Grindley, G.W. (1961)",,,,,,,20,Minimum value
KFHS,Limestone,moderately strong,,,"sands, silts, limestone, pumice tuffs",,"Grindley, G.W. (1960)",,,,,,,10,Approximate value
KHZ,Greywacke,strong,,,Jurassic Greywacke. Strong to very strong and massive,,"Cousins, W.J. et al. (1999); Lensen, G.J. (1962)",,,,,,,0,
KIKS,Limestone,moderately strong,,,,,"Lensen, G.J. (1962)",,,,,,,0,
KIRS,Greywacke,weak,highly weathered,,,,"Kingma, J.T. (1967)",,,,,,,3,Maximum value
KLDS,Greywacke,moderately strong,slightly weathered,,conglomerate with minor sandstone - Triassic," Slightly - moderately weathered","Johnston, M.R. (1990)",,,,,,,420,
KNZ,Siltstone,,,,massive  argillaceous siltstone ,,"Kingma, J.T. (1964)",,,,,,,0,
KOKS,Granite,moderately strong,,,,,"Warren, G. (1967)",,,,,,,200,
KOWC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
KPOC,Greywacke,strong,,,,,Brown. L.J. (1973),,,,,,,,Unknown - insufficient subsurface data
KUZ,Greywacke,strong,,,probably weathered ,Few metres into horizontal mineshaft. Close to contact with ignimbrite.,"Cousins, W.J. et al. (1999)",,,,,,,0,
LBZ,Greywacke,strong,,,,,"Mutch, A.R. (1963)",,,,,,,0,
LHBS,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,0,
LHES,Greywacke,very strong,,,,,"Fry, B. (1980)",,,,,,,280,Approximate value
LHRS,Greywacke,weak,moderately weathered,,,,,,,,,,,0,
LHUS,Greywacke,very strong,,,,Vs 175 m/s to 25m depth (at nearby Schofield St.),"Stephenson, W.R., & Barker, P.R. (1992); Fry, B. (1980)",,,,,,,225,Approximate value
LIHR,,,,,lava flow?,,,,,,,,,0,
LINC,Greywacke,strong,,,,,"Wilson, D.D. (1989)",,,,,,,,Unknown - insufficient subsurface data
LMZ,Greywacke,moderately strong,,,weak - strong?-Lower Paleozoic Greywacke / argillite," For at least part of its history this instrument has been located on soil or shattered rock.","Cousins, W.J. et al. (1999); Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,0,
LPCC,Andesite,strong,,,"andesite, basalt (Lyttleton Volcanics)",,"Suggate, R.P. (1973)",,,,,,,,Unknown - insufficient subsurface data
LPLS,Greywacke,strong,,,,strong to very strong,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,,"No idea of depth, other than it must be in the range 40 to 200 m to bedrock"
LRSC,Greywacke,strong,,,,,NZ Soil Bureau. (1968),,,,,,,,Unknown - insufficient subsurface data
LSRC,Greywacke,strong,,,(Kowhai Gravel),,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
LTZ,Greywacke,moderately strong,,,Triassic,,"Cousins, W.J. et al. (1999)",,,,,,,0,
MAGS,Mudstome,weak,,,flysch,,"Kermode, L.O. (1969)",,,,,,,,Unknown - insufficient subsurface data
MANS,Gneiss,extremely strong,,,gniess/ granite,,"Wood, B.L. (1964)",,,,,,,0,
MAVS,Sandstone,moderately strong,,,"moderately weak to moderately strong-Tertiary sandstone, siltstone, limestone, mudstone",Greywacke at depth of about 1600m,"Kingma, J.T. (1967)",,,,,,,1160,c. 45 m to effective bedrock
MAYC,Greywacke,strong,,,,,NZ Soil Bureau. (1968),,,,,,,,Unknown - insufficient subsurface data
MCAS,Siltstone,weak,,,Miocene muddy / very fine sandstone,weak to moderately strong,"Suggate, R.P. (1984)",,,,,,,200,
MCPS,Greywacke,strong,,,steeply dipping,,"Gair, H.S. (1967)",,,,,,,330,
MECS,Schist,moderately strong," ",,Chlorite Subzone IV- strongly foliated,Haast Schist.,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,,Unknown - insufficient subsurface data
MGCS,Greywacke,strong,,,Torlesse Supergroup,,"Brown, L.J. (1981)",,,,,,,1000,Effective bedrock 70 m?
MISS,Greywacke,moderately strong,,,,Surface of bedrock weathered,"Begg, J,G. et al. (1992)",2.6,,150,,1000,,60,Approximate value
MLZ,Greywacke,moderately strong,,,"spilite,dolerite,gabbro,breccia, greywacke (Livingstone Volcanics)",,"Wood, B.L. (1962)",,,,,,,0,
MMCS,Greywacke,strong,,,,,"NZ Soil Bureau Job File 44 - Investigations at Hotel, Arawa St. (held at GNS); Healy, J. et al. (1964)",,,,,,,2000,Probably effective bedrock at 50 m
MNG,Greywacke,moderately strong,,,,,"Cousins, W.J. et al. (1999)",,,,,,,0,
MNGS,Mudstone,weak,,,,,"Campbell, I.B. (1979); Kingma, J.T. (1962)",,,,,,,3,Effective bedrock at 3 m ?
MOA,Limestone,weak,,,," In thin beds. Most of the rock under it is grey siltstone",,,,,,,,0,
MOLS,Greywacke,moderately strong,,,,,"Gibbs, H.S., & Beggs, J.P. (1953); Lensen, G.J. (1962)",,,,,,,5,
MOSS,Greywacke,very strong,,,,,"Wood, B.L. (1966)",,,,,,,40,
MOTS,Granite,very strong,,,,,"Beck, A.C. (1964)",,,,,,,600,c. 300 m to effective bedrock
MOZ,Greywacke,strong,unweathered ,,Jurassic,the Awakino river has cut through the weathered profile,"Cousins, W.J. et al. (1999)",,,,,,,0,
MQZ,Andesite,moderately strong,moderately weathered,,blocky and weathered  McQueen's Andesite,"probably not very thick, 10s to 100s of metres, overlying Greywacke","Cousins, W.J. et al. (1999)",,,,,,,0,
MRZ,Greywacke,moderately strong,,,fractured,,"Cousins, W.J. et al. (1999)",,,,,,,0,
MSMC,Greywacke,strong,,,outwash gravel,,"NZ Soil Bureau. (1968); Gregg, D.R. (1964)",,,,,,,,Unknown - insufficient subsurface data
MSZ,Granite,very strong,,,Darran Diorite,Diorite / Gneiss,"Cousins, W.J. et al. (1999)",,,,,,,0,
MSZS,Granite,strong,,,diorite/ gneiss,,"Cousins, W.J. et al. (1999)",,,,,,,3,Maximum value
MTDS,Ignimbrite,moderately strong,,,Whakamaru Ignimbrite,,"Healy, J. et al. (1964)",,,,,,,0,
MWDS,Greywacke,moderately strong,unweathered,,,jointed but compact. Steeply dipping crushed and sheared zones.,"Kingma, J.T. (1962)",,,200,,4800,,0,
MWFS,Greywacke,moderately strong,,,Urewera Greywacke,,"Healy, J. et al. (1964)",,,,,,,,Unknown - insufficient subsurface data
MWZ,Siltstone,moderately strong,,,siltstone with bands of sandstone,,"Kingma, J.T. (1962)",,,,,,,0,
MXZ,Basalt,moderately strong,,,"gabbro, basalt, agglomerate & tuff (Matakaoa Volcanics)",,"Kingma, J.T. (1962)",,,,,,,0,
NAMS,Limestone,moderately weak,,,limestone ? or mudstone ?,moderately weak to moderately strong,"Kingma, J.T. (1970)",,,,,,,20,Minimum value
NCBS,Siltstone,weak,,,Pliocene conglomerate,site on 1850 shoreline,"Johnston, M.R. (1979)",,,,,,,30,Approximate value
NCDS,Siltstone,moderately strong,,,Nukumaruan Siltstone / limestone,,"Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,
NCHS,Siltstone,moderately strong,,,Nukumaruan Siltstone / limestone,,"Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,Approximate value
NELS,Siltstone,weak,,,mudstone/ siltstone,"Braemar, Eocene","NZ Soil Bureau Job File 12/4 (Held at GNS). ; Johnston, M.R. (1979)",,,,,,,3,Approximate value
NGHS,Limestone,moderately weak,,,limestone (Nukumaruan),moderately weak to moderately strong,"Kingma, J.T. (1970); Benites, R.A., & Haines, A.J. (1996)",,,,,,,0,
NLMS,Siltstone,weak,,,clay-bound gravels,Port Hills Gravel,"Johnston, M.R. (1979)",,,,,,,52,
NMPS,Greywacke,strong,,,Cretaceous,same site as 040A and 255A,"Kingma, J.T. (1967)",,,,,,,7,"5 to 10 m, this site is close to toe of steep slope, so may be nearly on rock"
NNBS,Greywacke,strong,,,,,"Brown, L.J. (1975)",,,,,,,1000,"Probably 1000 m to bedrock, c. 30 m to effective bedrock"
NNZ,,moderately strong,,,Brook Street Grp,,"Beck, A.C. (1964)",,,,,,,0,
NPCS,Sandstone,weak,,,soft rock or stiff / hard soil,,"NZ Soil Bureau job File 9/2.- For NP Hospiital about 300m away. (Helds at GNS); Hay, R.F. (1967)",,,,,,,25,Minimum value
NSBS,Greywacke,very strong,,,"Greywacke, schist, gneiss, granite",,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,,Unknown - insufficient subsurface data
NSPS,Limestone,moderately weak,,,Limestone,moderately weak to moderately strong,"Kingma, J.T. (1970)",,,,,,,2,Minimum value
NWFS,Greywacke,strong,,,Cretaceous,,"Kingma, J.T. (1967)",,,,,,,7,Approximate value
OAMS,Limestone,moderately strong,,,limestone / mudstone,,"Barker, P.R. (1996); Mutch, A.R. (1963)",,,,,,,30,Subsurface information lacking. It may be <10 m to bedrock
ODZ,Schist,moderately strong,,,,,"Cousins, W.J. et al. (1999)",,,,,,,0,
OHKS,Ignimbrite,moderately strong,,,water laid pumice tuffs & breccias with interbedded freshwater siltstones & sandstones (Ohakuri Grp),,"Healy, J. et al. (1964)",,,,,,,0,
OIZ,Greywacke,moderately strong,,,Jurassic Greywacke exposed in valley of Whakapapa river,,"Cousins, W.J. et al. (1999); Hay, R.F. (1967)",,,,,,,0,
ONIS,Mudstone,weak,,,Tertiary mudstone / siltstone,,"Neall, V.E. (1979)",,,,,,,350,Probably effective bedrock at c. 100 m
OPCS,Sandstone,weak,,,sandstone conglomerate,,"Healy, J. et al. (1964)",,,,,,,75,50 - 100 m
ORCS,Sandstone,strong,,,sandstone - Tertiary,,"Hay, R.F. (1967)",,,,,,,100,Approximate value
OTKS,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,300,Probably effective bedrock at 150 m
OUZ,Limestone,moderately strong,,,sandstone / limestone,,"Kear, D., & Hay, R.F. (1961)",,,,,,,0,
PAPS,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,50,Approximate value
PEEC,Greywacke,strong,,,,,NZ Soil Bureau. (1968),,,,,,,,Unknown - insufficient subsurface data
