Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
647A,Wellington Central Police Station,Stable,,"Accelerograph array in 10 storey reinforced concrete building with base isolation. Isolation is provided by flexible piles and damping by lead-extrusion damper. Site A - (basement) concrete floor in service duct, close to dampers (unisolated), B - ground floor, C - top floor","Reclaimed land, flat","Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
647D,Wellington Central Police Station,Stable,,"Accelerograph array in 10 storey reinforced concrete building with base isolation. Isolation is provided by flexible piles and damping by lead-extrusion dampers. Site D - (basement) concrete floor in service duct, close to dampers (unisolated), C - top floor, E, ground floor","Reclaimed land, flat","Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
648A,Wellington Parliament Buildings,Stable,,Free field site on clay bank,On sloping ground,"Wellington (Hutt Valley) (c. 0.5 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 13 km)"
651A,Lower Hutt Hospital,Stable,,"In recess in concrete foundation, unisolated, beneath base-isolated concrete building","Flat ground on valley floor, near centre of 3km-wide Hutt Valley.","Wellington (Hutt Valley) (c. 1 km), Whitemans (c. 6 km), Moonshine (c. 7 km), Ohariu S (c. 11 km), Ohariu C (c. 11 km)"
700A,Karapiro Hydro,Stable,,"Inside concrete gravity dam, near original ground level, close to spillway. Instrument mounted on gallery wall near end of blind gallery, near centre of dam. Note that component orientations are non-standard.",In gorge of Waikato River,Kerepehi S (c. 27 km) 
701A,Hamilton Chief Post Office,Stable,,Concrete floor in basement of 4 storey reinforced concrete building,"Flat site, terrace above Waikato river",Kerepehi C (c. 38 km) 
701C,Hamilton Chief Post Office,Stable,,Concrete floor in basement of 4 storey reinforced concrete building,"Flat site, terrace above Waikato river",Kerepehi C (c. 38 km) 
702A,Hamilton Police Station,Stable,,"Accelerograph array in reinforced-concrete frame building (basement + 7 stories, 30m x 30m). Site 705A - free field site c. 30m from the Police Station building, base of 3m deep chamber",Flat terrace above Waikato river,Kerepehi C (c. 38 km) 
703C,Huntly Power Station,Low Liquefaction Susceptibility,,"Accelerograph array at the Huntly Power station. Power station building is on piles. Site C - Remote, ground site 100m from station, small concrete slab",Flat terrace above Waikato river,Kerepehi C (c. 39 km) 
704A,Porirua Art Gallery,Stable,,Concrete floor of steel framed warehouse,"Flat site adjacent to harbour in Porirua valley, c. 100m from shoreline","Ohariu S (c. 0.5 km), Ohariu C (c. 1 km), Pukerua-Shepherds (c. 3 km), Moonshine (c. 4 km), Wellington (Hutt Valley) (c. 9 km)"
705A,Porirua Fire Station,Low Landslide Susceptibility,,Concrete floor of?,"Close to Greywacke outcrop, on gently undulating land in hills to east of Porirua valley","Ohariu S (c. 1 km), Ohariu C (c. 2 km), Moonshine (c. 3 km), Pukerua-Shepherds (c. 5 km), Wellington (Hutt Valley) (c. 8 km)"
705B,Porirua Hall,Low Landslide Susceptibility,,Concrete floor in basement under stage of light wooden framed high stud community hall,"Close to Greywacke outcrop, on gently undulating land in hills to east of Porirua valley","Ohariu S (c. 2 km), Ohariu C (c. 2 km), Moonshine (c. 3 km), Pukerua-Shepherds (c. 5 km), Wellington (Hutt Valley) (c. 8 km)"
706A,Porirua Components & Instrumentation,Stable,,Concrete floor of single storey steel framed building.,"Flat land at head of harbour on reclamation; near centre of Porirua valley, c. 200m from shoreline.","Ohariu S (c. 0.3 km), Ohariu C (c. 1 km), Pukerua-Shepherds (c. 3 km), Moonshine (c. 4 km), Wellington (Hutt Valley) (c. 10 km)"
707A,Porirua Free Ambulance Depot,Low Landslide Susceptibility,,"Concrete floor of steel roofed garage, concrete block walls. NB: different building to PFAS.",Gently undulating land in hills to east of Porirua valley,"Ohariu S (c. 1 km), Ohariu C (c. 2 km), Moonshine (c. 3 km), Pukerua-Shepherds (c. 5 km), Wellington (Hutt Valley) (c. 8 km)"
708A,Porirua Library,Stable,,"Concrete floor of large high-stud building with mix of RC and steel columns, generally light construction.","Flat site adjacent to harbour in Porirua valley, c. 100m from shoreline. Sheared zone between two strands of the Ohariu fault.","Ohariu S (c. 0.5 km), Ohariu C (c. 1 km), Pukerua-Shepherds (c. 3 km), Moonshine (c. 4 km), Wellington (Hutt Valley) (c. 9 km)"
709A,Gisborne Waipaoa Water Treatment Plant,Stable,,"Concrete floor of 2-storey concrete-block building with light roof. The building is on piles (Stuart Read, pers comm) and the floor level at the accelerograph site is about 1m above the level of the surrounding ground.","Flat site adjacent to Waipaoa River. Near centre of large plain (5km from hills on either side, 4km from closest hills upriver, about 7km from coast)","Repongaere F4 (c. 9 km), OtokoToto F7 (c. 9 km), Raukumara F6 (c. 10 km), Raukumara F3 (c. 13 km), Hikurangi Subduction Zone"
710A,Gisborne Pumping Station,Low Liquefaction Susceptibility,,"Concrete floor of small (1.6m x 2.4m) single-storey concrete block annex (switch-room) that is attached to the side of a larger building (10m x 40m) (pumping station) that is single-storey, reinforced-concrete frame construction with r-c in-fill walls.","Reclaimed land 30m from the foot of Kaiti hill, also c. 30m from the northern bank of the Turanganui river, c. 100m from sea.","Raukumara F3 (c. 3 km), Hikurangi Subduction Zone, Raukumara F6 (c. 16 km), OtokoToto F7 (c. 17 km), Repongaere F4 (c. 18 km)"
711A,Lower Hutt Randwick Road Substation,Stable,,Concrete floor of small single storey concrete-block building,"Flat site 1km from eastern side of Hutt valley floor, c. 1.5 km from shoreline.","Wellington (Hutt Valley) (c. 3 km), Whitemans (c. 6 km), Moonshine (c. 8 km), Ohariu S (c. 11 km), Ohariu C (c. 13 km)"
712A,Whakatane High School,Stable,,"Concrete floor of single-storey timber-framed building. Chipboard lining inside, weatherboard exterior, corrugated-iron roof. (Store-room adjacent to Audio Visual room) (About 20m x 20m)",Flat ground about 1km from eastern edge of 20km wide Rangitaiki Plain.,"Whakatane N (c. 0.2 km), Edgecumb Coastal (c. 6 km), White Island 1 (c. 6 km), Awakeri (c. 9 km), Edgecumbe 1987 (c. 10 km)"
713A,Porirua Whitireia Community Polytechnic,Stable,,"Subsurface array. Site A - surface accelerometer, concrete floor of 1-storey, timber-framed building, Site B at 12m depth.","Flat site adjacent to harbour in Porirua valley, c. 100m from shoreline","Ohariu S (c. 0.2 km), Ohariu C (c. 0.9 km), Pukerua-Shepherds (c. 3 km), Moonshine (c. 4 km), Wellington (Hutt Valley) (c. 10 km)"
801A,Auckland Civic Centre,Low Liquefaction Susceptibility,,"Accelerograph array in 19 storey reinforced concrete frame building (19 stories above 3 levels of basement) A - Ground floor level, B - Level 7 north, C - Level 7 south, D - Level 13 north, E - Level 17 north, F - Roof",Side of shallow basin sloping towards Queen St.,Wairoa N (c. 27 km) 
802A,Auckland Savings Bank,Low Landslide Susceptibility,,"Accelerograph array in 12 storey reinforced concrete frame building, A - Basement, B - Level 5, C - Level 12",Side of shallow basin sloping towards Queen St.,Wairoa N (c. 27 km) 
803A,Auckland University Science Block,low Landslide Susceptibility,,"Accelerograph array in c. 10 storey reinforced concrete building, A - basement, B to E at higher levels",Top of broad low ridge,Wairoa N (c. 26 km) 
804A,Auckland Custom House,Low Liquefaction Susceptibility,,"Accelerograph array in 13 storey reinforced concrete building. Piles extend to bedrock. A  - Basement, B - Level 6, C - Level 13.",Flat reclaimed land near harbour,Wairoa N (c. 27 km) 
806C,Auckland Union House,Low Liquefaction Susceptibility,,"Accelerograph array in 13-storey reinforced concrete base-isolated building. The isolation system consists of flexible piles in hollow sleeves and damping is provided by steel taper-plate dampers. Piled to bedrock. A - top floor, B - 1st floor, C - basement (unisolated)",Flat reclaimed land near harbour,Wairoa N (c. 27 km) 
900A,Wellington Museum of New Zealand,Stable,,"Free field site, instrument mounted on concrete block pinned to tarmac paving.",Reclaimed land near harbour (prior to construction of Museum),"Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
900B,Wellington Museum of New Zealand,Stable,,"Free field site, instrument mounted on concrete block pinned to tarmac paving.",Reclaimed land near harbour (prior to construction of Museum),"Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
900C,Wellington Museum of New Zealand,Stable,,"Concrete floor 1-storey car parking building, reinforced-concrete frame, concrete panel walls, concrete roof",Reclaimed land adjacent to Wellington harbour (Frank Kitts Park),"Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
901A,Wellington Taranaki St Police Station,Stable,,Concrete floor in basement of 2 storey unreinforced brick building,"Flat reclamation, about 300 m from shoreline.","Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
902A,Wellington Vogel Building,Stable,,"Accelerograph array in 14 storey reinforced concrete building. A - Remote site, in carpark 20m from building, B - Basement, C - Level 8, D - Level 14",Gently sloping land adjacent to 1840 shoreline,"Wellington (Hutt Valley) (c. 0.7 km), Ohariu S (c. 5 km), Moonshine (c. 8 km), Pukerua-Shepherds (c. 9 km), Whitemans (c. 12 km)"
903A,Wellington Morrison Morpeth House,Stable,1,"Accelerograph array in 22 storey reinforced concrete building, podium to level 7, tower block above. Site A - Lower ground floor (level 1, on ground), B - level 6, C - level 8, D - level 23.","Rock site at base of low terrace, between The Terrace and Lambton Quay","Wellington (Hutt Valley) (c. 0.7 km), Ohariu S (c. 5 km), Moonshine (c. 8 km), Pukerua-Shepherds (c. 9 km), Whitemans (c. 12 km)"
904A,Wellington Dalmuir House,Stable,,"Accelerograph array in 15 storey reinforced concrete building. A - Lower basement, B - level 7/8, C - level 17","Close to base of low terrace, between The Terrace and Lambton Quay","Wellington (Hutt Valley) (c. 0.6 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 12 km)"
904D,Wellington Dalmuir House,Stable,,"Accelerograph array in 15 storey reinforced concrete building. D - Lower basement, E - level 7/8, F - level 17","Close to base of low terrace, between The Terrace and Lambton Quay","Wellington (Hutt Valley) (c. 0.6 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 12 km)"
905A,Wellington Postal Centre,Stable,,"Accelerograph array in 12 storey steel framed building. A - Basement, B - 4th floor, C - 12th floor rest room, D - 12th floor appeal room",Flat land near harbour (100m) on reclamation of 1876,"Wellington (Hutt Valley) (c. 0.8 km), Ohariu S (c. 5 km), Moonshine (c. 8 km), Pukerua-Shepherds (c. 9 km), Whitemans (c. 12 km)"
906A,Wellington Reserve Bank,Stable,,"Accelerograph array in 14 storey steel framed building. Basement on bedrock. A - Basement, B - Level 5, C - Level 14","Near end of broad spur, on The Terrace.","Wellington (Hutt Valley) (c. 0.6 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 13 km)"
907A,Wellington Rutherford House,Stable,,"Accelerograph array in 12 storey reinforced concrete building, with remote site in adjacent underground car parking structure. A - Car park (one storey below ground level), B - Basement (one storey below ground level), C - Level 4, D - Level 12",Flat site near harbour,"Wellington (Hutt Valley) (c. 0.7 km), Ohariu S (c. 5 km), Moonshine (c. 8 km), Pukerua-Shepherds (c. 9 km), Whitemans (c. 12 km)"
908C,Wellington Shell Gully Motorway,Stable,,"Accelerograph array on motorway bridge. Columns are founded in bedrock. A - bridge deck, column 18a north, B - bridge deck, column 21a south, C - remote free field rock site",In gully (Shell Gully) between The Terrace and Kelburn.,"Wellington (Hutt Valley) (c. 0.6 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 12 km)"
910A,Wellington Charles Fergusson Building,Stable,,"Accelerograph array in 14 storey reinforced concrete building, with remote site at ground level in adjacent single storey car parking building. A - Car park (remote site), B - Basement, C - Level 8, D - Level 14","Floor of small gully, on Bowen St.","Wellington (Hutt Valley) (c. 0.6 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 13 km)"
911A,Wellington Central Library,Stable,,Concrete floor in basement of 3 storey reinforced concrete building,Flat site 50m from harbour,"Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
911B,Wellington Central Library,Stable,,Concrete floor in basement of 3 storey reinforced concrete building,Flat site 50m from harbour,"Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
912A,Wellington International Airport (fire station),Stable,5,"Concrete floor of light, 1-storey, steel-framed building",Raised beach deposits.,"Wellington (Hutt Valley) (c. 6 km), Whitemans (c. 8 km), Ohariu S (c. 11 km), Pukerua-Shepherds (c. 13 km), Moonshine (c. 13 km)"
913A,Wellington Church Street Substation,Stable,,Concrete floor of reinforced concrete box structure (power transformer koisk),"Rock site near crest of ""The Terrace"" ridge","Wellington (Hutt Valley) (c. 0.9 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
914A,Wellington Gray & Elliot 167 Vivian St,Stable,,Concrete floor of brick walled single storey building with timber roof,"Flat site in Te Aro district, site of former ""Te Aro swamp""","Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 10 km), Whitemans (c. 12 km)"
914B,Wellington Southern Cross Medical,Stable,,"Concrete floor of reinforced concrete two storey office building. RC frame, block infill  for ground floor. Too heavy to be unsupported on soft sediment.","Flat site in Te Aro district, site of former ""Te Aro swamp"". Next door to 914A, Grey & Elliot.","Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 10 km), Whitemans (c. 12 km)"
914C,Wellington Kinetic Vision,Stable,,"Concrete floor of reinforced concrete two storey office building. RC frame, block infill  for ground floor. Too heavy to be unsupported on soft sediment.","Flat site in Te Aro district, site of former ""Te Aro swamp"".","Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 10 km), Whitemans (c. 12 km)"
916A,Wellington ANZ Bank 165-169 Cuba St,Stable,,Concrete floor of 2 storey brick building,Flat site in Te Aro district.,"Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 10 km), Whitemans (c. 12 km)"
917A,Wellington Taranaki St Police Station,Stable,,Concrete floor in basement of 2 storey unreinforced brick building,"Flat reclamation, about 300 m from shoreline.","Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
918A,Wellington Seismological Observatory,Stable,,Concrete floor of reinforced concrete & brick bunker (old gun emplacement). About 2m below ground level.,"Crest of narrow steep-sided ridge, topographic effects likely","Wellington (Hutt Valley) (c. 0.5 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 9 km), Whitemans (c. 13 km)"
918B,Wellington Seismological Observatory,Stable,,Concrete floor of reinforced concrete & brick bunker (old gun emplacement). About 2m below ground level.,"Crest of narrow steep-sided ridge, topographic effects likely","Wellington (Hutt Valley) (c. 0.5 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 9 km), Whitemans (c. 13 km)"
919A,Wellington Te Aro Post Office,Stable,,Concrete floor of 3 storey reinforced concrete & brick building,Flat site in Te Aro district.,"Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 10 km), Whitemans (c. 12 km)"
921A,Wellington Bowen Street Bridge,Stable,,"Accelerograph array on reinforced concrete bridge. A - free field site, rock, B - bridge deck",Near base of side of moderately steep gully,"Wellington (Hutt Valley) (c. 0.5 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 8 km), Whitemans (c. 13 km)"
922A,Wellington Beehive,Stable,,Basement of underground car parking building,Modified hillside in weathered Greywacke,"Wellington (Hutt Valley) (c. 0.6 km), Ohariu S (c. 5 km), Moonshine (c. 8 km), Pukerua-Shepherds (c. 9 km), Whitemans (c. 12 km)"
922B,Wellington Beehive,Stable,,Basement of 9 storey reinforced concrete building,Modified hillside in weathered Greywacke,"Wellington (Hutt Valley) (c. 0.6 km), Ohariu S (c. 5 km), Moonshine (c. 8 km), Pukerua-Shepherds (c. 9 km), Whitemans (c. 12 km)"
923A,Wellington Hospital Ward Support Block,Stable,,"Accelerograph array in 9 storey reinforced concrete building founded in bedrock. A - basement, B - level 9 (top floor)",Modified hillside in weathered Greywacke,"Wellington (Hutt Valley) (c. 3 km), Ohariu S (c. 8 km), Pukerua-Shepherds (c. 10 km), Whitemans (c. 11 km), Moonshine (c. 11 km)"
924A,Wellington William Clayton Bldg,Stable,,Accelerograph array in 4 storey reinforced concrete building. The building is base-isolated with lead-rubber bearings. Site A - foundation centre (below isolators),Flat land on old terrace.,"Wellington (Hutt Valley) (c. 0.2 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 13 km)"
924B,Wellington William Clayton Bldg,Stable,,Accelerograph array in 4 storey reinforced concrete building. The building is base-isolated with lead-rubber bearings. Site B - foundation north (below isolators),Flat land on old terrace.,"Wellington (Hutt Valley) (c. 0.2 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 13 km)"
924F,Wellington William Clayton Bldg,Stable,,Accelerograph array in 4 storey reinforced concrete building. The building is base-isolated with lead-rubber bearings. Site F - foundation centre (below isolators),Flat land on old terrace.,"Wellington (Hutt Valley) (c. 0.2 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 13 km)"
924G,Wellington William Clayton Bldg,Stable,,Accelerograph array in 4 storey reinforced concrete building. The building is base-isolated with lead-rubber bearings. Site G - foundation centre (below isolators),Flat land on old terrace.,"Wellington (Hutt Valley) (c. 0.2 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 13 km)"
925A,Nelson NELMAC (Nelson Depot),Stable,1.4,"Concrete floor of 1-storey, concrete-block, industrial building. Name changed from Nelson City Council Depot to Nelson NELMAC (Nelson Depot) with change of company structure.","Small (1km) delta/floodplain, coastal area adjoining hilly terrain.",Waimea N (c. 5 km) 
925B,Nelson NELMAC (Nelson Depot),Stable,1.4,"Concrete floor of 1-storey, concrete-block, industrial building. Name changed from Nelson City Council Depot to Nelson NELMAC (Nelson Depot) with change of company structure.","Small (1km) delta/floodplain, coastal area adjoining hilly terrain.",Waimea N (c. 5 km) 
926A,Napier Telecom,Stable,,Concrete floor in basement of large 3-storey reinforced concrete building,Cut into sloping land at base of Bluff Hill,Napier 1931 (c. 4 km) 
928A,"Havelock North, St Lukes School",Low Landslide Susceptibility,,"Concrete floor of partial basement (5m x 20m) at one end single storey wooden building (school hall). The basement has reinforced-concrete walls to 1m height, then timber frame for 1m.","Part-way up low, gently sloping, ridge","Napier 1931 (c. 6 km), Tukituki  Thrust (c. 8 km), Waipukurau-Poukawa (c. 18 km), Kidnappers Anticline (c. 20 km), "
929A,Edgecumbe Bay Milk Factory,High Liquefaction Susceptibility,,"Concrete floor of single-storied, steel-framed and steel-clad building (approximate dimensions 30m x 8m)",Flat land near centre of Whakatane Graben,"Edgecumbe 1987 (c. 1 km), Awakeri (c. 3 km), Edgecumb Coastal (c. 5 km), Waiohau N (c. 8 km), Braemar (c. 9 km)"
930A,Edgecumbe Substation Electricorp,High Liquefaction Susceptibility,,Concrete floor of small single-storey reinforced-concrete building,Flat land near centre of Whakatane Graben,"Edgecumbe 1987 (c. 0.7 km), Awakeri (c. 3 km), Edgecumb Coastal (c. 6 km), Waiohau N (c. 7 km), Braemar (c. 9 km)"
931A,Kawerau Substation,Stable,5,"Concrete floor of single storey wooden building (garage, weatherboards, tile roof)",Flood plain of Tarawera River.,"Edgecumbe 1987 (c. 2 km), Rotoiti (c. 4 km), Braemar (c. 7 km), Waiohau N (c. 7 km), Awakeri (c. 9 km)"
931B,Kawerau Police Station,Stable,,Concrete floor of light timber shed,"Broad river valley (about 2km wide), floodplain of the Tarawera River","Edgecumbe 1987 (c. 2 km), Rotoiti (c. 4 km), Braemar (c. 7 km), Waiohau N (c. 9 km), Awakeri (c. 10 km)"
931C,Kawerau Fire Station,Stable,,"Concrete floor of light, 1-storey building (timber frame, hard-board lining, steel cladding, corrugated-iron roof)","Broad river valley (about 2km wide), floodplain of the Tarawera River","Edgecumbe 1987 (c. 2 km), Rotoiti (c. 4 km), Braemar (c. 7 km), Waiohau N (c. 8 km), Awakeri (c. 10 km)"
932A,Whakatane Council Engineers Office,Low Liquefaction Susceptibility,,Concrete floor,Riverbank at foot of moderately steep slope in Greywacke,"Whakatane N (c. 1 km), Edgecumb Coastal (c. 8 km), White Island 1 (c. 8 km), Waimana N (c. 10 km), Awakeri (c. 11 km)"
933A,Tauranga Telephone Exchange,Stable,,"Concrete floor in basement of heavy 2-storey reinforced concrete building (rc frame, rc walls, approx. 15m x 30m)",Flat terrace near sea,Mayr 1 (c. 21 km) 
933B,Tauranga Telephone Exchange,Stable,,"Concrete floor in basement of heavy 2-storey reinforced concrete building (rc frame, rc walls, approx. 15m x 30m)",Flat terrace near sea,Mayr 1 (c. 21 km) 
934A,Lower Hutt Shell Oil,Stable,,Concrete floor of small concrete outbuilding (at bulk fuel installation),Flat reclaimed land 500m from mouth of Hutt river,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 15 km)"
934B,Lower Hutt Shell Oil,Stable,,Concrete floor of small concrete outbuilding (at bulk fuel installation),Flat reclaimed land 500m from mouth of Hutt river,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 15 km)"
934C,Lower Hutt Shell Oil,Stable,,Concrete floor of small concrete outbuilding (at bulk fuel installation),Flat reclaimed land 500m from mouth of Hutt river,"Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 15 km)"
935A,Lower Hutt Geological Survey,Stable,2,"Concrete floor in timber-framed, galvanised iron-clad, 1-storey, shed (12/08/87 to 04/10/88), then moved to concrete floor of concrete-walled garage with single-storied wooden building above (04/10/88 to 12/10/95)","Flat ground on valley floor, ~500m from western side of Hutt Valley.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 11 km)"
935B,Lower Hutt Chiropractic Services,Stable,2,Concrete floor of concrete-walled garage with single-storied wooden building above,"Flat ground on valley floor, c. 500m from western side of Hutt Valley.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 11 km)"
935C,Lower Hutt Chiropractic Services,Stable,2,Concrete floor of concrete-walled garage with single-storied wooden building above,"Flat ground on valley floor, c. 500m from western side of Hutt Valley.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 11 km)"
936A,Lower Hutt Unilever,Stable,,"Concrete floor in single storey, steel framed and clad, factory building",Flat land 300m from Hutt river and shoreline. Jackson St east.,"Wellington (Hutt Valley) (c. 2 km), Whitemans (c. 7 km), Moonshine (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 13 km)"
937A,Wellington Pottery Association,Low Landslide Susceptibility,,Concrete floor of reinforced concrete sub basement beneath single storied wooden building,"Toe of fault line scarp, at base of Tinakori Hill.","Wellington (Hutt Valley) (c. 0.1 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 13 km)"
937B,Wellington Pottery Association,Low Landslide Susceptibility,,Concrete floor of reinforced concrete sub basement beneath single storied wooden building,"Toe of fault line scarp, at base of Tinakori Hill.","Wellington (Hutt Valley) (c. 0.1 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 13 km)"
938A,Ward Service Station,Stable,20,Light concrete slab floor of single storey steel framed building,"Floor of flat valley, about 2km wide, in low hill country","Clarence NE (c. 9 km), Needles (c. 9 km), Jordan-Kekerengu-Chancet-SF (c. 13 km), Jordan-Kekerengu-Chancet-BL (c. 13 km), Kekerengu-Chancet (c. 13 km)"
940A,Queenstown Telephone Exchange,Low Landslide Susceptibility,,Concrete floor of single storey reinforced concrete building with stone cladding & heavy tile roof,Flat site on side of lake,"Moonlight N (c. 9 km), Nevis (c. 20 km), Cardrona S (c. 20 km) "
941A,Wellington Taranaki St Police Station,Stable,,Concrete floor in basement of 2 storey unreinforced brick building,"Flat reclamation, about 300 m from shoreline.","Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
942A,Ashburton District Council,Stable,,Concrete floor of basement beneath three storied reinforced concrete frame building,Flat site on broad river plain,Hutt-Peel (c. 33 km) 
943A,Timaru Telephone Exchange,Stable,,Concrete floor in basement of 3 storey reinforced concrete building,"Low lying, slightly disected, coastal plain",Brothers (c. 19 km) 
944A,Mossburn Motors,Stable,,"Concrete floor of light timber framed building. Previously named ""Mossburn Tractor & Auto Services"".",Broad floodplain,"Takitimu 2 (c. 0.6 km), Hokonui (c. 5 km), Takitimu 1 (c. 20 km) "
945A,Matamata Sports Complex,Stable,3,"Concrete floor of light single-storied steel-framed building (timber and brick sheathing, corrugated iron roof)",Flat land.,"Kerepehi S (c. 3 km), Kerepehi C (c. 13 km) "
946A,Mossburn School,Stable,,Concrete floor of light timber framed building (weatherboard garage),Broad floodplain,"Takitimu 2 (c. 0.3 km), Hokonui (c. 5 km), Takitimu 1 (c. 20 km) "
946B,Mossburn School,Stable,,"Concrete floor of light, 1-storey, timber framed building (weatherboard garage)",Broad floodplain,"Takitimu 2 (c. 0.3 km), Hokonui (c. 5 km), Takitimu 1 (c. 20 km) "
948A,Matamata Fire Station,Stable,3,"Concrete floor of light single-storied steel-framed building (timber and brick sheathing, corrugated iron roof)",Flat land.,"Kerepehi S (c. 3 km), Kerepehi C (c. 12 km) "
954A,Wellington Victoria University (Cotton building),Low Landslide Susceptibility,,In seismic instrument shaft beneath c. 6 storey reinforced concrete frame building,"Edge of gently sloping terrace, above 50m high slope","Wellington (Hutt Valley) (c. 0.8 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 10 km), Whitemans (c. 13 km)"
ADCS,Ashburton District Council,Stable,,Concrete floor of basement beneath three storied reinforced concrete frame building,Flat site on broad river plain,Hutt-Peel (c. 33 km) 
